epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,35977.1,0.54184,0.33988,0.93559,0.99399,0.955,0.98291,0.84267,0.89476,0.4176,1.28314,0.000944,0.000944,0.000944
82,36375.7,0.55573,0.34374,0.95713,0.97894,0.95,0.97224,0.81589,0.96311,0.41823,1.36202,0.0009308,0.0009308,0.0009308
83,36744.3,0.55755,0.36148,0.94886,0.96544,0.97765,0.98972,0.82777,0.89692,0.42043,1.27173,0.0009176,0.0009176,0.0009176
84,37109.9,0.55336,0.35202,0.94147,0.99293,0.97,0.98297,0.84455,0.86206,0.35628,1.23148,0.0009044,0.0009044,0.0009044
85,37471.7,0.54679,0.33634,0.94525,0.97937,0.94937,0.97053,0.8243,0.89033,0.42285,1.25962,0.0008912,0.0008912,0.0008912
86,37839.4,0.53796,0.33558,0.94868,0.99463,0.92618,0.98031,0.84669,0.67607,0.36436,1.06539,0.000878,0.000878,0.000878
87,38201,0.53405,0.33095,0.94196,0.97413,0.965,0.97876,0.86469,0.57205,0.31441,0.96755,0.0008648,0.0008648,0.0008648
88,38565.8,0.53219,0.33444,0.94213,0.94561,0.97,0.97734,0.84312,0.77745,0.39017,1.13337,0.0008516,0.0008516,0.0008516
89,38923.7,0.5318,0.33237,0.93986,0.97469,0.975,0.98682,0.8725,0.65932,0.35623,1.05572,0.0008384,0.0008384,0.0008384
90,39377.9,0.51434,0.31985,0.92922,0.97467,0.96184,0.98083,0.85619,0.75964,0.46121,1.11069,0.0008252,0.0008252,0.0008252
91,40076.9,0.52893,0.32855,0.94862,0.97464,0.96085,0.98721,0.87986,0.55511,0.30087,0.9879,0.000812,0.000812,0.000812
92,40465.8,0.52569,0.32152,0.93539,0.95564,0.96938,0.98032,0.85473,0.66006,0.38101,1.04035,0.0007988,0.0007988,0.0007988
